Model,RMSE,Precision@K,Recall@K,K,Notes
TF-IDF CBF,0.9226848125037903,0.5386885245901639,0.6558940139358084,10,TF-IDF similarity
User-Profile CBF,1.3034121556061877,0.4927868852459016,0.628406637799318,10,User profile similarity
User-CF,1.0298615108990101,0.023114754098360658,0.030764983437443418,10,"Pearson, K=10"
Item-CF,0.8436966086239711,0.01672131147540984,0.0035567930224162485,10,"Cosine, K=20"
SVD (numpy),0.9179152491286343,0.046885245901639346,0.05909710759642693,10,k_factors=50
SVD (Surprise),0.8571782493053158,0.5685245901639344,0.6666821490532865,10,Best grid params
Hybrid,0.6512433543681129,0.8752459016393445,0.27681701488825594,10,Meta-model
Neural Net,0.9618277109182626,,,10,Dual-branch NN
RL (ε-Greedy),,,,10,AvgReward=0.0346
RL (UCB),,,,10,AvgReward=-0.0001
RL (Q-Learning),,,,10,AvgReward=0.0184
