userId,movieId,title,predicted_score,rank
1,260,Star Wars: Episode IV - A New Hope (1977),4.779845333870758,1
1,1197,"Princess Bride, The (1987)",4.7770985605200345,2
1,296,Pulp Fiction (1994),4.761416288200866,3
1,4993,"Lord of the Rings: The Fellowship of the Ring, The (2001)",4.748031811057553,4
1,1208,Apocalypse Now (1979),4.746011543935951,5
1,1210,Star Wars: Episode VI - Return of the Jedi (1983),4.699335206699108,6
1,1196,Star Wars: Episode V - The Empire Strikes Back (1980),4.696223850859949,7
1,912,Casablanca (1942),4.693861973255959,8
1,5952,"Lord of the Rings: The Two Towers, The (2002)",4.690489215538618,9
1,2028,Saving Private Ryan (1998),4.668309295861838,10
2,1784,As Good as It Gets (1997),4.165643393050963,1
2,208,Waterworld (1995),4.163280015884927,2
2,231,Dumb & Dumber (Dumb and Dumber) (1994),4.1615691973582685,3
2,288,Natural Born Killers (1994),4.159717346183317,4
2,3623,Mission: Impossible II (2000),4.154866047830895,5
2,344,Ace Ventura: Pet Detective (1994),4.14819488631968,6
2,1721,Titanic (1997),4.147815446300731,7
2,52722,Spider-Man 3 (2007),4.147715519117098,8
2,1380,Grease (1978),4.147707171733768,9
2,2628,Star Wars: Episode I - The Phantom Menace (1999),4.146306141612835,10
3,6539,Pirates of the Caribbean: The Curse of the Black Pearl (2003),2.7210771098296593,1
3,3578,Gladiator (2000),2.713746821379363,2
3,1198,Raiders of the Lost Ark (Indiana Jones and the Raiders of the Lost Ark) (1981),2.7097321836004706,3
3,1918,Lethal Weapon 4 (1998),2.7085796014300394,4
3,849,Escape from L.A. (1996),2.7058490931879677,5
3,1391,Mars Attacks! (1996),2.703431969942536,6
3,1021,Angels in the Outfield (1994),2.701613509220149,7
3,1499,Anaconda (1997),2.6986777037885075,8
3,47,Seven (a.k.a. Se7en) (1995),2.6941396209482495,9
3,1199,Brazil (1985),2.6903738516460343,10
